"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","the-netherlands","amsterdam",2020-07-09,2818,"Oostelijk Havengebied - Indische Buurt",52.36575,4.94142,"Apartment","Private room",2,1,2,59,3,1125,23,59,413
"2","the-netherlands","amsterdam",2020-07-09,20168,"Centrum-Oost",52.36509,4.89354,"Townhouse","Private room",2,1,1,100,1,365,0,193.333333333333,5800
"3","the-netherlands","amsterdam",2020-07-09,25428,"Centrum-West",52.37297,4.88339,"Apartment","Entire home/apt",3,1,1,125,14,180,22,125,1000
"4","the-netherlands","amsterdam",2020-07-09,27886,"Centrum-West",52.38761,4.89188,"Houseboat","Private room",2,1,1,135,2,730,14,143.75,2300
"5","the-netherlands","amsterdam",2020-07-09,31080,"Zuid",52.35132,4.84838,"Apartment","Entire home/apt",4,3,3,219,3,365,0,219,6570
"6","the-netherlands","amsterdam",2020-07-09,41125,"Centrum-West",52.37891,4.88321,"Apartment","Entire home/apt",3,1,1,180,4,35,15,160,2400
"7","the-netherlands","amsterdam",2020-07-09,42970,"Centrum-West",52.36781,4.89001,"Bed and breakfast","Hotel room",2,1,1,159,3,1100,30,0,0
"8","the-netherlands","amsterdam",2020-07-09,43109,"Centrum-West",52.37537,4.88932,"Apartment","Entire home/apt",4,2,4,210,3,30,30,0,0
"9","the-netherlands","amsterdam",2020-07-09,43980,"Zuid",52.35746,4.86124,"Apartment","Entire home/apt",2,1,2,100,30,365,0,79,2370
"10","the-netherlands","amsterdam",2020-07-09,46386,"De Pijp - Rivierenbuurt",52.35247,4.90825,"Apartment","Entire home/apt",2,1,1,150,3,1825,0,150,4500
"11","the-netherlands","amsterdam",2020-07-09,48076,"Centrum-West",52.38042,4.89453,"Bed and breakfast","Private room",4,2,3,270,4,60,0,278.666666666667,8360
"12","the-netherlands","amsterdam",2020-07-09,49552,"Centrum-West",52.38028,4.89089,"Guest suite","Entire home/apt",4,2,2,220,3,1124,16,228.571428571429,3200
"13","the-netherlands","amsterdam",2020-07-09,49790,"De Baarsjes - Oud-West",52.36266,4.86103,"Boat","Entire home/apt",4,2,2,250,3,365,30,0,0
"14","the-netherlands","amsterdam",2020-07-09,50515,"Bos en Lommer",52.37727,4.83925,"Townhouse","Entire home/apt",6,3,3,120,4,15,8,115,2530
"15","the-netherlands","amsterdam",2020-07-09,50518,"Westerpark",52.38201,4.87865,"Apartment","Entire home/apt",2,1,1,135,2,1120,8,120.045454545455,2641
"16","the-netherlands","amsterdam",2020-07-09,50523,"Centrum-West",52.36841,4.88413,"Bed and breakfast","Private room",2,1,1,115,2,365,10,131.75,2635
"17","the-netherlands","amsterdam",2020-07-09,52490,"Oostelijk Havengebied - Indische Buurt",52.37005,4.93869,"Apartment","Private room",2,1,1,80,2,80,0,75,2250
"18","the-netherlands","amsterdam",2020-07-09,53671,"Westerpark",52.38905,4.88559,"Guest suite","Private room",2,1,1,75,3,14,17,101.153846153846,1315
"19","the-netherlands","amsterdam",2020-07-09,53692,"De Pijp - Rivierenbuurt",52.35348,4.90049,"Townhouse","Private room",4,1,3,60,1,150,4,103.846153846154,2700
"20","the-netherlands","amsterdam",2020-07-09,55256,"Centrum-Oost",52.37126,4.90351,"Apartment","Private room",2,1,1,86,1,365,0,90,2700
"21","the-netherlands","amsterdam",2020-07-09,55621,"De Pijp - Rivierenbuurt",52.35386,4.89772,"Apartment","Entire home/apt",4,2,2,222,3,24,14,219.375,3510
"22","the-netherlands","amsterdam",2020-07-09,55703,"Bos en Lommer",52.37561,4.85819,"Apartment","Entire home/apt",4,3,3,250,3,31,30,0,0
"23","the-netherlands","amsterdam",2020-07-09,55709,"Centrum-Oost",52.35896,4.89726,"Loft","Entire home/apt",3,1,1,159,4,30,0,152.2,4566
"24","the-netherlands","amsterdam",2020-07-09,55807,"De Baarsjes - Oud-West",52.36966,4.86203,"Apartment","Private room",2,1,1,60,2,7,0,87,2610
"25","the-netherlands","amsterdam",2020-07-09,55868,"Zuid",52.35613,4.88515,"Apartment","Entire home/apt",4,2,2,149,4,21,7,149,3427
"26","the-netherlands","amsterdam",2020-07-09,58211,"Centrum-West",52.36916,4.88445,"Townhouse","Private room",4,1,1,220,3,365,17,187.307692307692,2435
"27","the-netherlands","amsterdam",2020-07-09,62015,"Oud-Oost",52.36445,4.93124,"Apartment","Entire home/apt",2,1,1,109,2,5,29,120,120
"28","the-netherlands","amsterdam",2020-07-09,62801,"Bos en Lommer",52.38459,4.85463,"Apartment","Entire home/apt",4,2,1,750,30,30,30,0,0
"29","the-netherlands","amsterdam",2020-07-09,64736,"De Baarsjes - Oud-West",52.36348,4.86783,"Houseboat","Entire home/apt",2,1,1,189,3,30,0,189,5670
"30","the-netherlands","amsterdam",2020-07-09,64769,"Centrum-Oost",52.36225,4.902,"Townhouse","Entire home/apt",4,3,6,450,4,1125,0,450,13500
"31","the-netherlands","amsterdam",2020-07-09,67841,"De Pijp - Rivierenbuurt",52.35472,4.89324,"Apartment","Entire home/apt",2,1,1,100,2,30,0,106.666666666667,3200
"32","the-netherlands","amsterdam",2020-07-09,68290,"Centrum-West",52.36887,4.89523,"Apartment","Private room",2,1,2,149,3,30,0,181.033333333333,5431
"33","the-netherlands","amsterdam",2020-07-09,68873,"Centrum-West",52.3695,4.89556,"Apartment","Private room",2,1,1,109,3,30,0,170.6,5118
"34","the-netherlands","amsterdam",2020-07-09,69042,"Centrum-West",52.37353,4.87691,"Bed and breakfast","Hotel room",2,1,1,108,3,365,26,130,520
"35","the-netherlands","amsterdam",2020-07-09,70598,"Noord-West",52.41433,4.92014,"House","Private room",2,1,1,53,1,7,22,40,320
"36","the-netherlands","amsterdam",2020-07-09,73208,"Zuid",52.35935,4.87672,"Apartment","Entire home/apt",4,2,0,220,5,1125,0,220,6600
"37","the-netherlands","amsterdam",2020-07-09,75382,"Oud-Oost",52.36482,4.92762,"Apartment","Private room",3,1,2,105,3,90,21,105,945
"38","the-netherlands","amsterdam",2020-07-09,75444,"Oud-Oost",52.36551,4.92848,"Apartment","Private room",2,1,1,70,3,100,21,70,630
"39","the-netherlands","amsterdam",2020-07-09,75499,"De Baarsjes - Oud-West",52.36145,4.87696,"Apartment","Private room",2,1,1,110,4,30,28,110,220
"40","the-netherlands","amsterdam",2020-07-09,76459,"De Baarsjes - Oud-West",52.36342,4.87558,"Townhouse","Private room",2,1,2,115,4,31,29,115,115
"41","the-netherlands","amsterdam",2020-07-09,76668,"Westerpark",52.38934,4.89089,"Bed and breakfast","Hotel room",4,2,2,145,3,90,0,165,4950
"42","the-netherlands","amsterdam",2020-07-09,80635,"Centrum-West",52.37876,4.89264,"Townhouse","Private room",1,1,1,105,2,1125,0,110,3300
"43","the-netherlands","amsterdam",2020-07-09,82482,"Centrum-West",52.37026,4.88003,"Guesthouse","Entire home/apt",4,0,2,95,2,28,12,122.388888888889,2203
"44","the-netherlands","amsterdam",2020-07-09,82748,"Centrum-West",52.37307,4.89343,"Apartment","Entire home/apt",4,1,2,249,3,365,29,249,249
"45","the-netherlands","amsterdam",2020-07-09,83814,"De Pijp - Rivierenbuurt",52.35632,4.88921,"Apartment","Entire home/apt",2,0,1,98,2,7,18,95,1140
"46","the-netherlands","amsterdam",2020-07-09,84057,"De Baarsjes - Oud-West",52.36521,4.85136,"Bed and breakfast","Hotel room",2,1,1,100,3,60,0,127.333333333333,3820
"47","the-netherlands","amsterdam",2020-07-09,91535,"De Pijp - Rivierenbuurt",52.35774,4.89647,"Boat","Private room",2,1,1,95,1,18,0,91.6666666666667,2750
"48","the-netherlands","amsterdam",2020-07-09,95540,"De Baarsjes - Oud-West",52.35735,4.85858,"Apartment","Entire home/apt",2,1,1,90,2,60,3,77.7777777777778,2100
"49","the-netherlands","amsterdam",2020-07-09,96048,"Centrum-Oost",52.3727,4.90776,"Bed and breakfast","Private room",2,1,2,55,1,365,13,71.2352941176471,1211
"50","the-netherlands","amsterdam",2020-07-09,97221,"Slotervaart",52.3491,4.83611,"Bed and breakfast","Private room",2,1,2,40,2,8,30,0,0
"51","the-netherlands","amsterdam",2020-07-09,107195,"Centrum-Oost",52.37007,4.9196,"Apartment","Entire home/apt",2,1,1,150,2,365,0,150,4500
"52","the-netherlands","amsterdam",2020-07-09,108890,"De Baarsjes - Oud-West",52.36083,4.85667,"Apartment","Entire home/apt",4,1,2,100,5,30,0,100,3000
"53","the-netherlands","amsterdam",2020-07-09,118097,"Centrum-West",52.36571,4.88464,"Guest suite","Private room",2,1,0,66,4,120,3,64.8888888888889,1752
"54","the-netherlands","amsterdam",2020-07-09,118117,"De Baarsjes - Oud-West",52.36888,4.86955,"Apartment","Private room",2,1,1,87,3,1124,5,89,2225
"55","the-netherlands","amsterdam",2020-07-09,120872,"Bos en Lommer",52.38193,4.85541,"Apartment","Entire home/apt",4,1,1,99,2,21,0,99,2970
"56","the-netherlands","amsterdam",2020-07-09,130390,"De Pijp - Rivierenbuurt",52.35517,4.88969,"Apartment","Private room",2,1,1,80,2,730,0,80,2400
"57","the-netherlands","amsterdam",2020-07-09,137026,"De Pijp - Rivierenbuurt",52.35361,4.90562,"Townhouse","Private room",4,3,3,259,3,360,15,204,3060
"58","the-netherlands","amsterdam",2020-07-09,137901,"Zuid",52.34751,4.84963,"Houseboat","Entire home/apt",3,1,1,193,2,1125,0,165,4950
"59","the-netherlands","amsterdam",2020-07-09,141708,"Oostelijk Havengebied - Indische Buurt",52.36461,4.93892,"Apartment","Entire home/apt",3,2,2,98,4,30,20,145,1450
"60","the-netherlands","amsterdam",2020-07-09,148132,"De Baarsjes - Oud-West",52.3686,4.86487,"Apartment","Private room",2,1,1,52,2,7,0,37,1110
"61","the-netherlands","amsterdam",2020-07-09,155548,"Oud-Oost",52.36528,4.9301,"Apartment","Entire home/apt",2,1,1,90,7,15,0,150,4500
"62","the-netherlands","amsterdam",2020-07-09,162467,"De Baarsjes - Oud-West",52.36368,4.85506,"Apartment","Entire home/apt",2,1,1,145,3,21,30,0,0
"63","the-netherlands","amsterdam",2020-07-09,165833,"De Baarsjes - Oud-West",52.37336,4.85754,"Apartment","Entire home/apt",4,3,4,74,2,5,0,112,3360
"64","the-netherlands","amsterdam",2020-07-09,168769,"Centrum-West",52.37956,4.89359,"Townhouse","Private room",2,1,1,115,2,1124,0,118.333333333333,3550
"65","the-netherlands","amsterdam",2020-07-09,169356,"Centrum-West",52.38172,4.8831,"Condominium","Entire home/apt",2,1,1,165,7,13,8,175.909090909091,3870
"66","the-netherlands","amsterdam",2020-07-09,170223,"Centrum-West",52.36991,4.88265,"Apartment","Entire home/apt",2,1,1,145,5,180,28,150,300
"67","the-netherlands","amsterdam",2020-07-09,171054,"De Baarsjes - Oud-West",52.36916,4.86643,"Apartment","Entire home/apt",3,2,3,120,3,5,0,120,3600
"68","the-netherlands","amsterdam",2020-07-09,171498,"Zuid",52.3559,4.87919,"Apartment","Entire home/apt",4,3,2,140,2,1125,0,299,8970
"69","the-netherlands","amsterdam",2020-07-09,171631,"De Baarsjes - Oud-West",52.36339,4.85402,"Apartment","Entire home/apt",6,3,3,79,4,20,0,100.333333333333,3010
"70","the-netherlands","amsterdam",2020-07-09,174592,"Centrum-Oost",52.36208,4.9101,"Apartment","Entire home/apt",2,1,1,125,2,31,0,165.666666666667,4970
"71","the-netherlands","amsterdam",2020-07-09,175989,"De Baarsjes - Oud-West",52.35964,4.86713,"Apartment","Entire home/apt",4,1,2,100,2,30,17,200,2600
"72","the-netherlands","amsterdam",2020-07-09,179528,"De Pijp - Rivierenbuurt",52.34332,4.89484,"Apartment","Entire home/apt",3,2,2,230,21,100,30,0,0
"73","the-netherlands","amsterdam",2020-07-09,182839,"Oud-Noord",52.38624,4.90067,"Apartment","Entire home/apt",2,2,2,125,30,365,0,125,3750
"74","the-netherlands","amsterdam",2020-07-09,188347,"De Baarsjes - Oud-West",52.36824,4.85321,"Apartment","Private room",2,1,2,50,1,5,0,45.7666666666667,1373
"75","the-netherlands","amsterdam",2020-07-09,189754,"Centrum-West",52.37433,4.89247,"Bed and breakfast","Private room",4,1,3,160,2,365,1,113,3277
"76","the-netherlands","amsterdam",2020-07-09,190943,"Zuid",52.35221,4.84661,"Apartment","Entire home/apt",3,2,2,150,5,28,12,80,1440
"77","the-netherlands","amsterdam",2020-07-09,193038,"Centrum-Oost",52.36057,4.89671,"Loft","Private room",2,1,1,95,3,31,11,78.1578947368421,1485
"78","the-netherlands","amsterdam",2020-07-09,198307,"Centrum-West",52.38393,4.89237,"Apartment","Entire home/apt",2,1,1,129,3,1125,0,129,3870
"79","the-netherlands","amsterdam",2020-07-09,199844,"Westerpark",52.38351,4.87573,"Apartment","Entire home/apt",3,1,2,99,5,30,0,99,2970
"80","the-netherlands","amsterdam",2020-07-09,200461,"De Baarsjes - Oud-West",52.35931,4.86111,"Apartment","Entire home/apt",2,1,5,79,5,30,10,71,1420
"81","the-netherlands","amsterdam",2020-07-09,203658,"Zuid",52.34744,4.86886,"Apartment","Entire home/apt",4,3,4,284,3,60,0,284,8520
"82","the-netherlands","amsterdam",2020-07-09,205759,"De Baarsjes - Oud-West",52.36889,4.86429,"Apartment","Entire home/apt",2,1,1,99,1,730,0,99,2970
"83","the-netherlands","amsterdam",2020-07-09,212050,"De Baarsjes - Oud-West",52.36895,4.86452,"Apartment","Entire home/apt",4,2,3,180,3,365,19,246,2706
"84","the-netherlands","amsterdam",2020-07-09,213721,"Zuid",52.35165,4.84653,"Apartment","Entire home/apt",2,1,1,149,2,30,0,151,4530
"85","the-netherlands","amsterdam",2020-07-09,214531,"Centrum-West",52.37169,4.89446,"Apartment","Private room",3,1,2,114,3,50,21,102.333333333333,921
"86","the-netherlands","amsterdam",2020-07-09,219276,"Centrum-West",52.36891,4.8897,"Guest suite","Private room",2,1,1,265,2,760,0,245,7350
"87","the-netherlands","amsterdam",2020-07-09,222516,"De Baarsjes - Oud-West",52.3611,4.85894,"Apartment","Entire home/apt",2,1,1,119,3,14,0,117.666666666667,3530
"88","the-netherlands","amsterdam",2020-07-09,226121,"De Baarsjes - Oud-West",52.35957,4.86589,"Apartment","Entire home/apt",4,1,2,115,4,1125,24,125,750
"89","the-netherlands","amsterdam",2020-07-09,230710,"Centrum-West",52.37591,4.87807,"Condominium","Entire home/apt",4,2,2,125,14,60,0,125,3750
"90","the-netherlands","amsterdam",2020-07-09,245927,"Centrum-West",52.36791,4.88809,"Guest suite","Private room",4,2,3,398,2,180,12,179.333333333333,3228
"91","the-netherlands","amsterdam",2020-07-09,247805,"De Baarsjes - Oud-West",52.36707,4.87348,"Apartment","Private room",2,1,0,119,2,365,20,123,1230
"92","the-netherlands","amsterdam",2020-07-09,250751,"Oostelijk Havengebied - Indische Buurt",52.3661,4.93299,"Apartment","Entire home/apt",2,1,1,70,4,50,0,79.2,2376
"93","the-netherlands","amsterdam",2020-07-09,251444,"Centrum-West",52.37231,4.89856,"Condominium","Entire home/apt",2,1,2,449,1,1125,29,449,449
"94","the-netherlands","amsterdam",2020-07-09,252080,"Centrum-Oost",52.36961,4.90982,"House","Entire home/apt",4,2,2,385,4,30,30,0,0
"95","the-netherlands","amsterdam",2020-07-09,253650,"Centrum-West",52.36775,4.88982,"Bed and breakfast","Hotel room",2,1,1,149,3,30,30,0,0
"96","the-netherlands","amsterdam",2020-07-09,254104,"Centrum-Oost",52.36513,4.90837,"Bed and breakfast","Private room",2,1,1,149,2,21,10,149,2980
"97","the-netherlands","amsterdam",2020-07-09,254800,"Centrum-West",52.37131,4.88206,"Apartment","Entire home/apt",2,1,1,250,3,30,0,303.333333333333,9100
"98","the-netherlands","amsterdam",2020-07-09,255809,"De Pijp - Rivierenbuurt",52.34472,4.88613,"Apartment","Private room",4,2,2,145,1,365,27,135,405
"99","the-netherlands","amsterdam",2020-07-09,256670,"De Baarsjes - Oud-West",52.35941,4.85995,"Apartment","Entire home/apt",5,4,6,168,5,30,25,250,1250
"100","the-netherlands","amsterdam",2020-07-09,258273,"De Pijp - Rivierenbuurt",52.3542,4.8916,"Apartment","Entire home/apt",4,1,1,8000,30,30,30,0,0
"101","the-netherlands","amsterdam",2020-07-09,262394,"Zuid",52.35519,4.85117,"Apartment","Private room",2,1,1,88,3,30,0,88,2640
"102","the-netherlands","amsterdam",2020-07-09,265349,"De Baarsjes - Oud-West",52.36048,4.86345,"Apartment","Entire home/apt",2,1,1,85,2,21,0,85,2550
"103","the-netherlands","amsterdam",2020-07-09,270839,"Bos en Lommer",52.37745,4.85994,"Apartment","Private room",2,1,2,70,3,30,18,52.3333333333333,628
"104","the-netherlands","amsterdam",2020-07-09,272597,"Zuid",52.34633,4.85629,"Apartment","Entire home/apt",2,1,1,120,5,30,0,145,4350
"105","the-netherlands","amsterdam",2020-07-09,274688,"Bos en Lommer",52.37843,4.85484,"Condominium","Entire home/apt",2,1,1,125,2,15,29,125,125
"106","the-netherlands","amsterdam",2020-07-09,274706,"Centrum-Oost",52.36427,4.88523,"Apartment","Entire home/apt",4,2,2,200,3,40,0,200,6000
"107","the-netherlands","amsterdam",2020-07-09,275740,"Centrum-West",52.37959,4.88717,"Apartment","Entire home/apt",3,2,0,210,14,365,6,210,5040
"108","the-netherlands","amsterdam",2020-07-09,277011,"De Baarsjes - Oud-West",52.3583,4.85909,"Apartment","Entire home/apt",2,1,1,125,4,760,0,125,3750
"109","the-netherlands","amsterdam",2020-07-09,282269,"Zuid",52.35017,4.85255,"Apartment","Entire home/apt",3,2,3,115,10,365,0,116.666666666667,3500
"110","the-netherlands","amsterdam",2020-07-09,283170,"Zuid",52.35353,4.87514,"Apartment","Entire home/apt",12,5,12,650,2,90,30,0,0
"111","the-netherlands","amsterdam",2020-07-09,283621,"Centrum-West",52.38057,4.88565,"Apartment","Entire home/apt",4,2,3,105,7,180,0,221.866666666667,6656
"112","the-netherlands","amsterdam",2020-07-09,284319,"Centrum-Oost",52.36009,4.89461,"Bed and breakfast","Private room",4,1,1,115,2,365,0,121.666666666667,3650
"113","the-netherlands","amsterdam",2020-07-09,286374,"Geuzenveld - Slotermeer",52.37899,4.83494,"Apartment","Entire home/apt",4,1,1,95,4,28,0,95,2850
"114","the-netherlands","amsterdam",2020-07-09,286500,"Centrum-West",52.37561,4.9,"Apartment","Private room",2,1,1,9000,3,365,6,84.125,2019
"115","the-netherlands","amsterdam",2020-07-09,288967,"De Baarsjes - Oud-West",52.36192,4.85551,"Bed and breakfast","Private room",3,1,3,35,2,16,6,33.3333333333333,800
"116","the-netherlands","amsterdam",2020-07-09,289071,"Centrum-West",52.38037,4.88021,"Houseboat","Private room",2,1,1,90,3,22,0,91.6666666666667,2750
"117","the-netherlands","amsterdam",2020-07-09,290701,"Centrum-West",52.37561,4.9,"Apartment","Private room",2,1,1,9000,3,365,10,79.8,1596
"118","the-netherlands","amsterdam",2020-07-09,291637,"Watergraafsmeer",52.35251,4.94338,"House","Private room",2,1,1,95,2,31,0,80,2400
"119","the-netherlands","amsterdam",2020-07-09,291752,"Oud-Oost",52.35279,4.91256,"Apartment","Private room",2,1,1,99,3,1125,30,0,0
"120","the-netherlands","amsterdam",2020-07-09,293337,"Oud-Noord",52.38171,4.9144,"Apartment","Private room",2,1,1,105,7,14,0,115,3450
"121","the-netherlands","amsterdam",2020-07-09,293514,"Oud-Noord",52.38744,4.9096,"House","Entire home/apt",3,2,3,74,1,365,0,74,2220
"122","the-netherlands","amsterdam",2020-07-09,294468,"Centrum-Oost",52.36294,4.90944,"Apartment","Entire home/apt",4,1,1,175,3,15,0,175,5250
"123","the-netherlands","amsterdam",2020-07-09,297220,"De Pijp - Rivierenbuurt",52.35755,4.90144,"Apartment","Entire home/apt",2,1,1,195,6,8,0,195,5850
"124","the-netherlands","amsterdam",2020-07-09,301220,"Centrum-West",52.37154,4.87596,"Apartment","Entire home/apt",4,1,2,125,3,25,0,125,3750
"125","the-netherlands","amsterdam",2020-07-09,302426,"Centrum-West",52.37997,4.88707,"Apartment","Entire home/apt",5,2,3,126,5,1125,0,112,3360
"126","the-netherlands","amsterdam",2020-07-09,304082,"Centrum-West",52.37075,4.89787,"Bed and breakfast","Private room",2,1,2,140,1,1125,9,104.333333333333,2191
"127","the-netherlands","amsterdam",2020-07-09,304143,"Centrum-Oost",52.36377,4.91831,"Boat","Entire home/apt",2,1,1,85,3,30,0,95,2850
"128","the-netherlands","amsterdam",2020-07-09,304189,"Centrum-West",52.37094,4.87654,"Apartment","Entire home/apt",3,1,1,99,2,1125,17,139.615384615385,1815
"129","the-netherlands","amsterdam",2020-07-09,305809,"Westerpark",52.38448,4.87116,"Apartment","Entire home/apt",4,1,4,275,1,25,28,275,550
"130","the-netherlands","amsterdam",2020-07-09,306852,"Centrum-Oost",52.35955,4.8979,"Apartment","Entire home/apt",4,2,2,200,3,21,20,150,1500
"131","the-netherlands","amsterdam",2020-07-09,307497,"Westerpark",52.39235,4.88601,"Boat","Entire home/apt",16,10,16,464,2,14,0,499.733333333333,14992
"132","the-netherlands","amsterdam",2020-07-09,307621,"Centrum-Oost",52.35843,4.89667,"Apartment","Entire home/apt",2,1,1,125,3,21,23,110,770
"133","the-netherlands","amsterdam",2020-07-09,308028,"Centrum-Oost",52.35853,4.89751,"Apartment","Private room",2,1,1,95,3,10,15,70,1050
"134","the-netherlands","amsterdam",2020-07-09,309436,"Oud-Noord",52.39992,4.92,"Villa","Entire home/apt",2,1,2,175,2,21,30,0,0
"135","the-netherlands","amsterdam",2020-07-09,310722,"De Baarsjes - Oud-West",52.35901,4.8644,"Apartment","Entire home/apt",2,1,1,169,2,130,0,169,5070
"136","the-netherlands","amsterdam",2020-07-09,311124,"Centrum-West",52.37143,4.87667,"Apartment","Entire home/apt",2,1,1,230,3,666,23,230,1610
"137","the-netherlands","amsterdam",2020-07-09,311584,"De Baarsjes - Oud-West",52.36684,4.87676,"Apartment","Entire home/apt",2,1,1,100,3,30,0,95,2850
"138","the-netherlands","amsterdam",2020-07-09,311694,"Centrum-Oost",52.36176,4.89321,"Bed and breakfast","Private room",2,1,1,115,2,180,0,121.666666666667,3650
"139","the-netherlands","amsterdam",2020-07-09,314082,"De Baarsjes - Oud-West",52.36253,4.86391,"Apartment","Entire home/apt",2,1,1,111,1,20,0,75.4333333333333,2263
"140","the-netherlands","amsterdam",2020-07-09,314235,"De Pijp - Rivierenbuurt",52.35718,4.89654,"Apartment","Entire home/apt",2,1,1,150,3,18,0,150,4500
"141","the-netherlands","amsterdam",2020-07-09,314673,"De Pijp - Rivierenbuurt",52.34143,4.89142,"Apartment","Entire home/apt",2,1,1,199,2,11250,0,199,5970
"142","the-netherlands","amsterdam",2020-07-09,315820,"Oud-Oost",52.35562,4.91536,"House","Entire home/apt",4,2,2,107,7,30,26,107,428
"143","the-netherlands","amsterdam",2020-07-09,319985,"De Pijp - Rivierenbuurt",52.35729,4.90163,"Apartment","Entire home/apt",4,1,2,50,2,90,13,116.882352941176,1987
"144","the-netherlands","amsterdam",2020-07-09,320689,"Zuid",52.34919,4.85889,"Apartment","Entire home/apt",4,2,2,88,1,7,0,88,2640
"145","the-netherlands","amsterdam",2020-07-09,327285,"De Pijp - Rivierenbuurt",52.3555,4.89215,"Townhouse","Private room",4,1,4,143,3,1125,2,113.178571428571,3169
"146","the-netherlands","amsterdam",2020-07-09,328723,"Centrum-Oost",52.36902,4.90194,"Apartment","Entire home/apt",2,1,1,295,7,1125,8,295,6490
"147","the-netherlands","amsterdam",2020-07-09,331946,"De Baarsjes - Oud-West",52.36182,4.85699,"Loft","Entire home/apt",4,4,4,275,2,14,0,220,6600
"148","the-netherlands","amsterdam",2020-07-09,340994,"Centrum-Oost",52.36884,4.90648,"Apartment","Entire home/apt",2,1,1,150,4,30,0,150,4500
"149","the-netherlands","amsterdam",2020-07-09,342540,"Watergraafsmeer",52.35584,4.9335,"Condominium","Private room",2,1,1,72,2,1125,27,85,255
"150","the-netherlands","amsterdam",2020-07-09,343094,"Oud-Oost",52.35549,4.90852,"Townhouse","Private room",2,1,1,60,4,30,9,62.2380952380952,1307
"151","the-netherlands","amsterdam",2020-07-09,345397,"De Pijp - Rivierenbuurt",52.35711,4.90391,"Apartment","Entire home/apt",4,2,3,169,2,19,0,169,5070
"152","the-netherlands","amsterdam",2020-07-09,350271,"IJburg - Zeeburgereiland",52.36076,4.98876,"Boat","Entire home/apt",4,3,3,395,7,365,23,395,2765
"153","the-netherlands","amsterdam",2020-07-09,357980,"De Baarsjes - Oud-West",52.36545,4.8753,"Townhouse","Entire home/apt",4,4,4,245,2,1125,9,200.238095238095,4205
"154","the-netherlands","amsterdam",2020-07-09,361342,"Centrum-West",52.37962,4.8945,"Serviced apartment","Entire home/apt",2,2,3,299,7,1125,19,113.363636363636,1247
"155","the-netherlands","amsterdam",2020-07-09,362458,"Centrum-Oost",52.37021,4.93007,"Apartment","Entire home/apt",2,1,1,99,6,30,0,99,2970
"156","the-netherlands","amsterdam",2020-07-09,364728,"Centrum-Oost",52.37102,4.93062,"Apartment","Entire home/apt",4,2,3,129,2,90,6,109,2616
"157","the-netherlands","amsterdam",2020-07-09,367107,"Centrum-Oost",52.36248,4.90204,"Apartment","Entire home/apt",2,1,1,300,3,11,0,266.666666666667,8000
"158","the-netherlands","amsterdam",2020-07-09,367491,"De Baarsjes - Oud-West",52.36594,4.87807,"Apartment","Entire home/apt",2,1,1,188,3,7,9,168.380952380952,3536
"159","the-netherlands","amsterdam",2020-07-09,378523,"Centrum-Oost",52.37213,4.90379,"Boat","Entire home/apt",2,1,1,275,2,60,25,280,1400
"160","the-netherlands","amsterdam",2020-07-09,379885,"Oud-Oost",52.35466,4.90763,"Houseboat","Private room",2,1,1,199,3,1125,23,142.142857142857,995
"161","the-netherlands","amsterdam",2020-07-09,384909,"Centrum-West",52.37393,4.87793,"Loft","Entire home/apt",3,1,1,199,2,100,0,250,7500
"162","the-netherlands","amsterdam",2020-07-09,387644,"Westerpark",52.37927,4.8775,"Apartment","Entire home/apt",4,2,2,295,4,13,0,295,8850
"163","the-netherlands","amsterdam",2020-07-09,396125,"Centrum-West",52.37824,4.88532,"Apartment","Private room",2,1,1,85,3,7,0,85,2550
"164","the-netherlands","amsterdam",2020-07-09,400325,"Centrum-Oost",52.36123,4.89489,"Apartment","Entire home/apt",2,1,1,175,2,8,0,181.666666666667,5450
"165","the-netherlands","amsterdam",2020-07-09,402353,"Watergraafsmeer",52.35338,4.93407,"Apartment","Entire home/apt",2,1,1,126,2,1125,26,152,608
"166","the-netherlands","amsterdam",2020-07-09,406794,"Oud-Oost",52.36131,4.92579,"House","Entire home/apt",4,2,3,150,2,1125,0,130,3900
"167","the-netherlands","amsterdam",2020-07-09,408794,"De Baarsjes - Oud-West",52.35971,4.86177,"Apartment","Entire home/apt",3,1,2,129,20,20,0,199,5970
"168","the-netherlands","amsterdam",2020-07-09,414865,"Zuid",52.35099,4.84665,"Apartment","Entire home/apt",2,1,1,115,4,30,2,98,2744
"169","the-netherlands","amsterdam",2020-07-09,414917,"Centrum-Oost",52.363,4.89917,"Apartment","Entire home/apt",4,2,3,299,180,365,23,280,1960
"170","the-netherlands","amsterdam",2020-07-09,415619,"Oostelijk Havengebied - Indische Buurt",52.36958,4.93516,"Apartment","Entire home/apt",3,1,1,145,2,30,19,149.454545454545,1644
"171","the-netherlands","amsterdam",2020-07-09,418098,"De Baarsjes - Oud-West",52.36872,4.86022,"Apartment","Entire home/apt",4,2,2,185,3,3,0,185,5550
"172","the-netherlands","amsterdam",2020-07-09,422044,"Centrum-West",52.37964,4.89442,"Apartment","Entire home/apt",3,3,5,275,7,1124,22,204.25,1634
